model,prob_steering_success,prob_typechecks_before,lang,mutations,interval
starcoderbase-1b,"[0.42, 0.57, 0.91, 0.76, 0.65, 0.36, 0.26]","[0.56, 0.15, 0.03, 0.11, 0.07, 0.36, 0.4]",py,"['delete', 'delete_vars_types', 'types', 'types_delete', 'types_vars', 'vars', 'vars_delete']",5
starcoderbase-1b,"[0.4, 0.6, 0.82, 0.62, 0.6, 0.42, 0.35]","[0.55, 0.14, 0.07, 0.17, 0.09, 0.47, 0.49]",ts,"['delete', 'delete_vars_types', 'types', 'types_delete', 'types_vars', 'vars', 'vars_delete']",5
qwen2p5_coder_7b_base,"[0.33, 0.51, 0.7, 0.52, 0.59, 0.4, 0.28]","[0.8, 0.16, 0.1, 0.18, 0.16, 0.58, 0.66]",ts,"['delete', 'delete_vars_types', 'types', 'types_delete', 'types_vars', 'vars', 'vars_delete']",5
qwen2p5_coder_7b_base,"[0.52, 0.53, 0.8823529411764706, 0.696078431372549, 0.66, 0.43137254901960786, 0.41]","[0.49, 0.17, 0.049019607843137254, 0.21568627450980393, 0.07, 0.45098039215686275, 0.47]",py,"['delete', 'delete_vars_types', 'types', 'types_delete', 'types_vars', 'vars', 'vars_delete']",5
CodeLlama-7b-Instruct-hf,"[0.67, 0.51, 0.7884615384615384, 0.81, 0.59, 0.49, 0.52]","[0.14, 0.26, 0.1346153846153846, 0.1, 0.15, 0.24, 0.19]",py,"['delete', 'delete_vars_types', 'types', 'types_delete', 'types_vars', 'vars', 'vars_delete']",5
CodeLlama-7b-Instruct-hf,"[0.35928571428571426, 0.35678571428571426, 0.48428571428571426, 0.4307142857142857, -1, -1, 0.30607142857142855]","[0.28035714285714286, 0.23035714285714284, 0.13, 0.18, -1, -1, 0.40964285714285714]",ts,"['delete', 'delete_vars_types', 'types', 'types_delete', 'types_vars', 'vars', 'vars_delete']",5
